price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
200.0,2.0,1.0,1.0,2.0,1.0,281,1.64,4.9,4.89,4.92,4.86,96,1.0,18,100.0
435.83,5.0,2.0,3.0,4.0,30.0,70,0.36,4.8,4.69,4.57,4.62,236,2.0,27,87.166
158.09,2.0,1.0,1.0,1.0,30.0,158,0.88,4.9,4.95,4.57,4.79,167,1.0,30,79.045
222.87,2.0,1.0,1.0,2.0,30.0,4,0.04,4.75,5.0,5.0,5.0,0,1.0,21,111.435
74.7,4.0,1.0,1.0,4.0,30.0,125,0.69,4.61,4.5,4.26,4.7,87,2.0,63,18.675
222.87,2.0,1.0,1.0,2.0,30.0,14,0.08,4.82,4.83,5.0,4.83,0,1.0,4,111.435
222.87,3.0,1.0,1.0,2.0,30.0,9,0.05,4.67,4.67,4.22,4.44,0,1.0,10,74.29
296.0,2.0,2.0,1.0,1.0,4.0,106,0.79,4.96,4.92,4.92,4.8,207,1.0,71,148.0
102.965,2.0,1.0,1.0,1.0,30.0,156,0.87,4.91,4.92,4.94,4.8,43,2.0,42,51.4825
109.13,1.0,1.0,1.0,2.0,30.0,13,0.08,4.69,4.46,4.85,4.54,340,1.0,36,109.13
80.38,2.0,1.0,1.0,1.0,30.0,38,0.21,4.78,4.68,4.7,4.51,325,2.0,19,40.19
100.67,1.0,1.0,1.0,2.0,30.0,36,0.21,4.75,4.69,4.33,4.64,89,1.0,35,100.67
123.17,2.0,1.0,1.0,1.0,30.0,230,1.2,4.69,4.82,4.83,4.71,335,2.0,10,61.585
222.87,4.0,1.0,2.0,2.0,30.0,18,0.19,4.78,4.56,4.44,4.67,0,1.0,13,55.7175
399.57,16.0,2.5,5.0,9.0,30.0,13,0.07,4.42,4.36,4.82,4.55,365,11.0,19,24.973125
66.43,1.0,1.0,1.0,1.0,30.0,0,0.0,4.84,4.81,4.8,4.78,263,1.0,10,66.43
65.36,2.0,1.0,1.0,1.0,30.0,139,0.74,4.67,4.49,4.89,4.64,205,2.0,9,32.68
222.87,2.0,1.0,1.0,2.0,30.0,19,0.11,4.84,4.53,4.56,4.67,0,2.0,10,111.435
222.87,2.0,1.0,1.0,2.0,90.0,5,0.03,5.0,4.8,4.6,5.0,32,2.0,19,111.435
323.4,2.0,1.0,1.0,1.0,30.0,152,0.89,4.96,4.91,4.98,4.86,364,1.0,26,161.7
55.49,2.0,1.0,1.0,1.0,30.0,10,0.06,4.44,4.7,4.22,4.67,352,3.0,16,27.745
